"","sub","Question","Response","age.cat"
"52","7321894","Question_3","No","Adolescents"
"53","7321894","Question_5","8","Adolescents"
"54","7321894","Question_6","5","Adolescents"
"55","7321894","Question_7","8","Adolescents"
"56","7321894","Question_8","5","Adolescents"
"57","7321885","Question_1","Sì","Adolescents"
"58","7321885","Question_2","In quello insieme a un compagno stavo meno attenta alle monete ","Adolescents"
"59","7321885","Question_3","No","Adolescents"
"60","7321885","Question_5","6","Adolescents"
"61","7321885","Question_6","8","Adolescents"
"62","7321885","Question_7","8","Adolescents"
"63","7321885","Question_8","3","Adolescents"
"64","7322042","Question_1","Sì","Adolescents"
"65","7322042","Question_2","nel gioco solo se a caso ho scelto di più, rispetto all altro il mini tesoro","Adolescents"
"66","7322042","Question_3","No","Adolescents"
"67","7322042","Question_5","3","Adolescents"
"68","7322042","Question_6","3","Adolescents"
"69","7322042","Question_7","8","Adolescents"
"70","7322042","Question_8","6","Adolescents"
"71","7322029","Question_1","Sì","Adolescents"
"72","7322029","Question_2","Cambiate in base alle monete nel mini tesoro","Adolescents"
"73","7322029","Question_3","No","Adolescents"
"74","7322029","Question_5","9","Adolescents"
"75","7322029","Question_6","6","Adolescents"
"76","7322029","Question_7","10","Adolescents"
"77","7322029","Question_8","4","Adolescents"
"78","7322036","Question_1","Sì","Adolescents"
"79","7322036","Question_2","non ho scelto le stesse cose ","Adolescents"
"80","7322036","Question_3","No","Adolescents"
"81","7322036","Question_5","7","Adolescents"
"82","7322036","Question_6","10","Adolescents"
"83","7322036","Question_7","10","Adolescents"
"84","7322036","Question_8","10","Adolescents"
"85","7322024","Question_1","Sì","Adolescents"
"86","7322024","Question_2","in modo random","Adolescents"
"87","7322024","Question_3","Sì","Adolescents"
"88","7322024","Question_4","in modo radom","Adolescents"
"89","7322024","Question_5","4","Adolescents"
"90","7322024","Question_6","6","Adolescents"
"91","7322024","Question_7","4","Adolescents"
"92","7322024","Question_8","6","Adolescents"
"93","7322041","Question_1","Sì","Adolescents"
"94","7322041","Question_2","perché nel gioco a caso schiacciavo a caso nel gioco solo insieme schiacciavo la cifra piú alta","Adolescents"
"95","7322041","Question_3","No","Adolescents"
"96","7322041","Question_5","4","Adolescents"
"97","7322041","Question_6","5","Adolescents"
"98","7322041","Question_7","10","Adolescents"
"99","7322041","Question_8","5","Adolescents"
"100","7322038","Question_1","No","Adolescents"
"101","7322038","Question_3","No","Adolescents"
"102","7322038","Question_5","10","Adolescents"
"103","7322038","Question_6","0","Adolescents"
"104","7322038","Question_7","10","Adolescents"
"105","7322038","Question_8","0","Adolescents"
"106","7322040","Question_1","Sì","Adolescents"
"107","7322040","Question_2","le mie scelte sono molto casuali ","Adolescents"
"108","7322040","Question_3","No","Adolescents"
"109","7322040","Question_4","non sono cambiate","Adolescents"
"110","7322040","Question_5","6","Adolescents"
"111","7322040","Question_6","6","Adolescents"
"112","7322040","Question_7","6","Adolescents"
"113","7322040","Question_8","5","Adolescents"
"114","7322039","Question_1","Non so","Adolescents"
"115","7322039","Question_2","in quello ""solo a caso"" ho scelto in modo puramente casuale, mentre  in quello ""solo insieme"" mi sono presa più tempo per pensare :)","Adolescents"
"116","7322039","Question_3","Sì","Adolescents"
"117","7322039","Question_4","in ""solo se soli"" ho provato a prendere più spesso il mini tesoro","Adolescents"
"118","7322039","Question_5","10","Adolescents"
"119","7322039","Question_6","6","Adolescents"
"120","7322039","Question_7","6","Adolescents"
"121","7322039","Question_8","10","Adolescents"
"122","7322022","Question_1","Non so","Adolescents"
"123","7322022","Question_3","No","Adolescents"
"124","7322022","Question_4","perchè ho usato meno la logica e più la fortuna.","Adolescents"
"125","7322022","Question_5","9","Adolescents"
"126","7322022","Question_6","1","Adolescents"
"127","7322022","Question_7","8","Adolescents"
"128","7322022","Question_8","3","Adolescents"
"129","7322026","Question_1","No","Adolescents"
"130","7322026","Question_3","No","Adolescents"
"131","7322026","Question_5","7","Adolescents"
"132","7322026","Question_6","10","Adolescents"
"133","7322026","Question_7","6","Adolescents"
"134","7322026","Question_8","10","Adolescents"
"135","7322028","Question_1","No","Adolescents"
"136","7322028","Question_3","No","Adolescents"
"137","7322028","Question_5","6","Adolescents"
"138","7322028","Question_6","3","Adolescents"
"139","7322028","Question_7","7","Adolescents"
"140","7322028","Question_8","6","Adolescents"
"141","7322030","Question_1","No","Adolescents"
"142","7322030","Question_3","No","Adolescents"
"143","7322030","Question_5","10","Adolescents"
"144","7322030","Question_6","10","Adolescents"
"145","7322030","Question_7","4","Adolescents"
"146","7322030","Question_8","10","Adolescents"
"147","7322031","Question_1","Sì","Adolescents"
"148","7322031","Question_2","perché nel primo ho fatto alla caso e nel secondo ho scelto tutti i mini tesori e tre super tesori","Adolescents"
"149","7322031","Question_3","No","Adolescents"
"150","7322031","Question_5","4","Adolescents"
"151","7322031","Question_6","8","Adolescents"
"152","7322031","Question_7","8","Adolescents"
"153","7322031","Question_8","8","Adolescents"
"154","7322035","Question_1","No","Adolescents"
"155","7322035","Question_3","No","Adolescents"
"156","7322035","Question_5","4","Adolescents"
"157","7322035","Question_6","6","Adolescents"
"158","7322035","Question_7","5","Adolescents"
"159","7322035","Question_8","5","Adolescents"
"160","7322032","Question_1","No","Adolescents"
"161","7322032","Question_3","No","Adolescents"
"162","7322032","Question_5","6","Adolescents"
"163","7322032","Question_6","3","Adolescents"
"164","7322032","Question_7","8","Adolescents"
"165","7322032","Question_8","3","Adolescents"
"166","7322033","Question_1","No","Adolescents"
"167","7322033","Question_3","No","Adolescents"
"168","7322033","Question_5","8","Adolescents"
"169","7322033","Question_6","4","Adolescents"
"170","7322033","Question_7","7","Adolescents"
"171","7322033","Question_8","8","Adolescents"
"172","7322037","Question_1","No","Adolescents"
"173","7322037","Question_3","No","Adolescents"
"174","7322037","Question_5","6","Adolescents"
"175","7322037","Question_6","4","Adolescents"
"176","7322037","Question_7","8","Adolescents"
"177","7322037","Question_8","7","Adolescents"
"178","7322034","Question_1","Non so","Adolescents"
"179","7322034","Question_3","Non so","Adolescents"
"180","7322034","Question_5","10","Adolescents"
"181","7322034","Question_6","10","Adolescents"
"182","7322034","Question_7","10","Adolescents"
"183","7322034","Question_8","0","Adolescents"
"184","7322021","Question_1","Sì","Adolescents"
"185","7322021","Question_2","ho preso molto di piú il mini tesoro e in ogni gioco solo quattro volte il super tesoro avendo così una maggiore possibilità di vittoria","Adolescents"
"186","7322021","Question_3","No","Adolescents"
"187","7322021","Question_5","6","Adolescents"
"188","7322021","Question_6","10","Adolescents"
"189","7322021","Question_7","6","Adolescents"
"190","7322021","Question_8","10","Adolescents"
"191","7322025","Question_1","Sì","Adolescents"
"192","7322025","Question_2","in base al numero delle monete in ogni sacchetto ","Adolescents"
"193","7322025","Question_3","Sì","Adolescents"
"194","7322025","Question_5","5","Adolescents"
"195","7322025","Question_6","10","Adolescents"
"196","7322025","Question_7","7","Adolescents"
"197","7322025","Question_8","3","Adolescents"
"198","7322081","Question_1","No","Adolescents"
"199","7322081","Question_3","No","Adolescents"
"200","7322081","Question_5","7","Adolescents"
"201","7322081","Question_6","4","Adolescents"
"202","7322081","Question_7","10","Adolescents"
"203","7322081","Question_8","8","Adolescents"
"204","7322046","Question_1","No","Adolescents"
"205","7322046","Question_3","Sì","Adolescents"
"206","7322046","Question_4","É cambiata perché né solo se soli giocavo con un compagno,solo se a caso giocavo con il computer ","Adolescents"
"207","7322046","Question_5","7","Adolescents"
"208","7322046","Question_6","6","Adolescents"
"209","7322046","Question_7","9","Adolescents"
"210","7322046","Question_8","6","Adolescents"
"211","7322023","Question_1","Sì","Adolescents"
"212","7322023","Question_2","perché nel solo se a caso se cera un mini tesoro con piu di 8 monete lo prendevo invece di prendere il super tesoro invece nel sol insieme sapevo che il mio compagno avrebbe scelto di piu il super tesoro","Adolescents"
"213","7322023","Question_3","No","Adolescents"
"214","7322023","Question_5","4","Adolescents"
"215","7322023","Question_6","8","Adolescents"
"216","7322023","Question_7","10","Adolescents"
"217","7322023","Question_8","7","Adolescents"
"218","7321893","Question_1","Sì","Adolescents"
"219","7321893","Question_2","perche ho ragionato di piu","Adolescents"
"220","7321893","Question_3","Sì","Adolescents"
"221","7321893","Question_5","5","Adolescents"
"222","7321893","Question_6","5","Adolescents"
"223","7321893","Question_7","5","Adolescents"
"224","7321893","Question_8","5","Adolescents"
"225","7321887","Question_1","No","Adolescents"
"226","7321887","Question_3","No","Adolescents"
"227","7321887","Question_5","10","Adolescents"
"228","7321887","Question_6","10","Adolescents"
"229","7321887","Question_7","9","Adolescents"
"230","7321887","Question_8","8","Adolescents"
"231","7321888","Question_1","No","Adolescents"
"232","7321888","Question_3","No","Adolescents"
"233","7321888","Question_5","5","Adolescents"
"234","7321888","Question_6","8","Adolescents"
"235","7321888","Question_7","7","Adolescents"
"236","7321888","Question_8","8","Adolescents"
"237","7321897","Question_1","No","Adolescents"
"238","7321897","Question_3","No","Adolescents"
"239","7321897","Question_5","8","Adolescents"
"240","7321897","Question_6","7","Adolescents"
"241","7321897","Question_7","7","Adolescents"
"242","7321897","Question_8","8","Adolescents"
"243","7321891","Question_1","Sì","Adolescents"
"244","7321891","Question_2","sono variate nei tre diversi giochi","Adolescents"
"245","7321891","Question_3","Sì","Adolescents"
"246","7321891","Question_4","sono cambiate molto","Adolescents"
"247","7321891","Question_5","6","Adolescents"
"248","7321891","Question_6","4","Adolescents"
"249","7321891","Question_7","7","Adolescents"
"250","7321891","Question_8","3","Adolescents"
"251","7321883","Question_1","Sì","Adolescents"
"252","7321883","Question_2","Perché nel gioco ""solo se a caso"" prendevo il sacco di monete con la ricompensa minore","Adolescents"
"253","7321883","Question_3","No","Adolescents"
"254","7321883","Question_5","10","Adolescents"
"255","7321883","Question_6","0","Adolescents"
"256","7321883","Question_7","10","Adolescents"
"257","7321883","Question_8","0","Adolescents"
"258","7321890","Question_1","No","Adolescents"
"259","7321890","Question_3","No","Adolescents"
"260","7321890","Question_5","3","Adolescents"
"261","7321890","Question_6","2","Adolescents"
"262","7321890","Question_7","7","Adolescents"
"263","7321890","Question_8","4","Adolescents"
"264","7321895","Question_1","Sì","Adolescents"
"265","7321895","Question_2","Ho scelto il numero più efficace per me","Adolescents"
"266","7321895","Question_3","No","Adolescents"
"267","7321895","Question_5","4","Adolescents"
"268","7321895","Question_6","5","Adolescents"
"269","7321895","Question_7","10","Adolescents"
"270","7321895","Question_8","10","Adolescents"
"271","7321886","Question_1","No","Adolescents"
"272","7321886","Question_3","No","Adolescents"
"273","7321886","Question_5","10","Adolescents"
"274","7321886","Question_6","10","Adolescents"
"275","7321886","Question_7","10","Adolescents"
"276","7321886","Question_8","10","Adolescents"
"277","7321896","Question_1","No","Adolescents"
"278","7321896","Question_3","No","Adolescents"
"279","7321896","Question_5","7","Adolescents"
"280","7321896","Question_6","7","Adolescents"
"281","7321896","Question_7","9","Adolescents"
"282","7321896","Question_8","6","Adolescents"
"283","7321884","Question_1","No","Adolescents"
"284","7321884","Question_3","No","Adolescents"
"285","7321884","Question_5","10","Adolescents"
"286","7321884","Question_6","0","Adolescents"
"287","7321884","Question_7","10","Adolescents"
"288","7321884","Question_8","2","Adolescents"
"289","7321853","Question_1","Sì","Adolescents"
"290","7321853","Question_2","non so","Adolescents"
"291","7321853","Question_3","Sì","Adolescents"
"292","7321853","Question_4","si","Adolescents"
"293","7321853","Question_5","10","Adolescents"
"294","7321853","Question_6","10","Adolescents"
"295","7321853","Question_7","10","Adolescents"
"296","7321853","Question_8","9","Adolescents"
"297","7321742","Question_1","Non so","Children"
"298","7321742","Question_3","Sì","Children"
"299","7321742","Question_5","7","Children"
"300","7321742","Question_6","7","Children"
"301","7321742","Question_7","5","Children"
"302","7321742","Question_8","8","Children"
"303","7321752","Question_1","Sì","Adolescents"
"304","7321752","Question_3","Sì","Adolescents"
"305","7321752","Question_5","10","Adolescents"
"306","7321752","Question_6","10","Adolescents"
"307","7321752","Question_7","10","Adolescents"
"308","7321752","Question_8","10","Adolescents"
"309","7321766","Question_1","Non so","Children"
"310","7321766","Question_3","Non so","Children"
"311","7321766","Question_5","9","Children"
"312","7321766","Question_6","6","Children"
"313","7321766","Question_7","7","Children"
"314","7321766","Question_8","4","Children"
"315","7321755","Question_1","Sì","Adolescents"
"316","7321755","Question_2","in base al valore","Adolescents"
"317","7321755","Question_3","No","Adolescents"
"318","7321755","Question_5","5","Adolescents"
"319","7321755","Question_6","5","Adolescents"
"320","7321755","Question_7","4","Adolescents"
"321","7321755","Question_8","6","Adolescents"
"322","7321784","Question_1","Sì","Children"
"323","7321784","Question_2","dipende per il gioco","Children"
"324","7321784","Question_3","Non so","Children"
"325","7321784","Question_5","10","Children"
"326","7321784","Question_6","3","Children"
"327","7321784","Question_7","8","Children"
"328","7321784","Question_8","2","Children"
"329","7321788","Question_1","Non so","Children"
"330","7321788","Question_3","Non so","Children"
"331","7321788","Question_5","8","Children"
"332","7321788","Question_6","8","Children"
"333","7321788","Question_7","10","Children"
"334","7321788","Question_8","10","Children"
"335","7321842","Question_1","Sì","Children"
"336","7321842","Question_3","Sì","Children"
"337","7321842","Question_4","sono cambiate in base a quanti soldi c erano","Children"
"338","7321842","Question_5","10","Children"
"339","7321842","Question_6","10","Children"
"340","7321842","Question_7","10","Children"
"341","7321842","Question_8","10","Children"
"342","7321751","Question_1","No","Children"
"343","7321751","Question_3","No","Children"
"344","7321751","Question_4","no","Children"
"345","7321751","Question_5","0","Children"
"346","7321751","Question_6","0","Children"
"347","7321751","Question_7","5","Children"
"348","7321751","Question_8","5","Children"
"349","7321744","Question_1","No","Adolescents"
"350","7321744","Question_3","No","Adolescents"
"351","7321744","Question_5","10","Adolescents"
"352","7321744","Question_6","3","Adolescents"
"353","7321744","Question_7","4","Adolescents"
"354","7321744","Question_8","5","Adolescents"
"355","7321760","Question_1","Sì","Children"
"356","7321760","Question_3","No","Children"
"357","7321760","Question_5","7","Children"
"358","7321760","Question_6","9","Children"
"359","7321760","Question_7","9","Children"
"360","7321760","Question_8","7","Children"
"361","7321753","Question_1","Non so","Adolescents"
"362","7321753","Question_3","Non so","Adolescents"
"363","7321753","Question_5","5","Adolescents"
"364","7321753","Question_6","5","Adolescents"
"365","7321753","Question_7","5","Adolescents"
"366","7321753","Question_8","5","Adolescents"
"367","7321758","Question_1","Sì","Adolescents"
"368","7321758","Question_3","No","Adolescents"
"369","7321758","Question_5","8","Adolescents"
"370","7321758","Question_6","8","Adolescents"
"371","7321758","Question_7","10","Adolescents"
"372","7321758","Question_8","8","Adolescents"
"373","7321748","Question_1","No","Children"
"374","7321748","Question_3","No","Children"
"375","7321748","Question_5","9","Children"
"376","7321748","Question_6","10","Children"
"377","7321748","Question_7","10","Children"
"378","7321748","Question_8","10","Children"
"379","7313844","Question_1","Sì","Adolescents"
"380","7313844","Question_2","nel gioco SOLO SE A CASO ho scelto la super tesoro solo se il mini tesoro è molto basso ti numero","Adolescents"
"381","7313844","Question_3","Non so","Adolescents"
"382","7313844","Question_5","0","Adolescents"
"383","7313844","Question_6","10","Adolescents"
"384","7313844","Question_7","7","Adolescents"
"385","7313844","Question_8","10","Adolescents"
"386","7313843","Question_1","No","Adolescents"
"387","7313843","Question_3","Sì","Adolescents"
"388","7313843","Question_5","5","Adolescents"
"389","7313843","Question_6","5","Adolescents"
"390","7313843","Question_7","10","Adolescents"
"391","7313843","Question_8","5","Adolescents"
"392","7313829","Question_1","Sì","Adolescents"
"393","7313829","Question_2","nella prima ho scelto quelle con meno monete nella seconda a caso","Adolescents"
"394","7313829","Question_3","No","Adolescents"
"395","7313829","Question_5","7","Adolescents"
"396","7313829","Question_6","3","Adolescents"
"397","7313829","Question_7","8","Adolescents"
"398","7313829","Question_8","4","Adolescents"
"399","7313828","Question_1","No","Adolescents"
"400","7313828","Question_3","No","Adolescents"
"401","7313828","Question_5","8","Adolescents"
"402","7313828","Question_6","10","Adolescents"
"403","7313828","Question_7","7","Adolescents"
"404","7313828","Question_8","9","Adolescents"
"405","7313830","Question_1","Sì","Adolescents"
"406","7313830","Question_2","solo se a caso ho risposto guardando la cifra del mini tesoro e anche nell altro gioco ","Adolescents"
"407","7313830","Question_3","Sì","Adolescents"
"408","7313830","Question_5","7","Adolescents"
"409","7313830","Question_6","6","Adolescents"
"410","7313830","Question_7","9","Adolescents"
"411","7313830","Question_8","6","Adolescents"
"412","7313831","Question_1","Sì","Adolescents"
"413","7313831","Question_2","nel gioco solo se inseme quandi c'era un numero alto anche nell'altra sacca non sceglievo il super tesoro","Adolescents"
"414","7313831","Question_3","Non so","Adolescents"
"415","7313831","Question_5","7","Adolescents"
"416","7313831","Question_6","10","Adolescents"
"417","7313831","Question_7","7","Adolescents"
"418","7313831","Question_8","8","Adolescents"
"419","7313834","Question_1","No","Adolescents"
"420","7313834","Question_3","Sì","Adolescents"
"421","7313834","Question_4","sono cambiate perchè penso che tutti sceglievano le 15 monete fisse e allora ho scelto sempre l opsione con meno monete così avevo la certezza di avercele ","Adolescents"
"422","7313834","Question_5","10","Adolescents"
"423","7313834","Question_6","0","Adolescents"
"424","7313834","Question_7","10","Adolescents"
"425","7313834","Question_8","0","Adolescents"
"426","7313865","Question_1","Sì","Adolescents"
"427","7313865","Question_3","No","Adolescents"
"428","7313865","Question_5","6","Adolescents"
"429","7313865","Question_6","7","Adolescents"
"430","7313865","Question_7","6","Adolescents"
"431","7313865","Question_8","5","Adolescents"
"432","7313836","Question_1","Non so","Adolescents"
"433","7313836","Question_2","Ho scelto l instinto","Adolescents"
"434","7313836","Question_3","No","Adolescents"
"435","7313836","Question_5","8","Adolescents"
"436","7313836","Question_6","7","Adolescents"
"437","7313836","Question_7","6","Adolescents"
"438","7313836","Question_8","7","Adolescents"
"439","7313838","Question_1","No","Adolescents"
"440","7313838","Question_3","Sì","Adolescents"
"441","7313838","Question_4","nel gioco solo se soli ho scelto per lo più delle vlte la sacca del mini tesoro cosi ero più sicuro di predere tutte le monete","Adolescents"
"442","7313838","Question_5","6","Adolescents"
"443","7313838","Question_6","4","Adolescents"
"444","7313838","Question_7","7","Adolescents"
"445","7313838","Question_8","3","Adolescents"
"446","7313840","Question_1","No","Adolescents"
"447","7313840","Question_3","Sì","Adolescents"
"448","7313840","Question_4","In ""solo se a caso"" ho scelto sempre il mini tesoro, in ""solo se soli"" ho scelto sempre il super tesoro","Adolescents"
"449","7313840","Question_5","10","Adolescents"
"450","7313840","Question_6","0","Adolescents"
"451","7313840","Question_7","10","Adolescents"
"452","7313840","Question_8","0","Adolescents"
"453","7313837","Question_1","Sì","Adolescents"
"454","7313837","Question_2","in base a com era strutturato il gioco","Adolescents"
"455","7313837","Question_3","No","Adolescents"
"456","7313837","Question_5","7","Adolescents"
"457","7313837","Question_6","0","Adolescents"
"458","7313837","Question_7","10","Adolescents"
"459","7313837","Question_8","1","Adolescents"
"460","7313841","Question_1","Sì","Adolescents"
"461","7313841","Question_3","Sì","Adolescents"
"462","7313841","Question_5","10","Adolescents"
"463","7313841","Question_6","9","Adolescents"
"464","7313841","Question_7","9","Adolescents"
"465","7313841","Question_8","8","Adolescents"
"466","7313827","Question_1","Sì","Adolescents"
"467","7313827","Question_2","nel gioco solo se insieme ho puntato più sulla fortuna mentre nel gioco solo se a caso ho messo la più conveniente","Adolescents"
"468","7313827","Question_3","No","Adolescents"
"469","7313827","Question_5","6","Adolescents"
"470","7313827","Question_6","4","Adolescents"
"471","7313827","Question_7","6","Adolescents"
"472","7313827","Question_8","5","Adolescents"
"473","7313833","Question_1","No","Adolescents"
"474","7313833","Question_3","No","Adolescents"
"475","7313833","Question_5","9","Adolescents"
"476","7313833","Question_6","2","Adolescents"
"477","7313833","Question_7","9","Adolescents"
"478","7313833","Question_8","2","Adolescents"
"479","7313839","Question_1","No","Adolescents"
"480","7313839","Question_3","No","Adolescents"
"481","7313839","Question_5","10","Adolescents"
"482","7313839","Question_6","10","Adolescents"
"483","7313839","Question_7","10","Adolescents"
"484","7313839","Question_8","10","Adolescents"
"485","7313845","Question_1","Sì","Adolescents"
"486","7313845","Question_2","cambiando i disegni e le figure","Adolescents"
"487","7313845","Question_3","Sì","Adolescents"
"488","7313845","Question_5","5","Adolescents"
"489","7313845","Question_6","5","Adolescents"
"490","7313845","Question_7","5","Adolescents"
"491","7313845","Question_8","5","Adolescents"
"492","7313832","Question_1","No","Adolescents"
"493","7313832","Question_3","No","Adolescents"
"494","7313832","Question_5","8","Adolescents"
"495","7313832","Question_6","9","Adolescents"
"496","7313832","Question_7","8","Adolescents"
"497","7313832","Question_8","9","Adolescents"
"498","7313826","Question_1","Sì","Adolescents"
"499","7313826","Question_2","in base al gioco","Adolescents"
"500","7313826","Question_3","No","Adolescents"
"501","7313826","Question_5","9","Adolescents"
"502","7313826","Question_6","0","Adolescents"
"503","7313826","Question_7","10","Adolescents"
"504","7313826","Question_8","1","Adolescents"
"505","7313835","Question_1","Sì","Adolescents"
"506","7313835","Question_2","solo se e a caso ho rispostion a caso invece solo se insieme ho risposto solo quella grande","Adolescents"
"507","7313835","Question_3","No","Adolescents"
"508","7313835","Question_5","7","Adolescents"
"509","7313835","Question_6","1","Adolescents"
"510","7313835","Question_7","10","Adolescents"
"511","7313835","Question_8","0","Adolescents"
"512","7313421","Question_1","Sì","Adolescents"
"513","7313421","Question_3","Sì","Adolescents"
"514","7313421","Question_5","5","Adolescents"
"515","7313421","Question_6","10","Adolescents"
"516","7313421","Question_7","10","Adolescents"
"517","7313421","Question_8","5","Adolescents"
"518","7313419","Question_1","Sì","Adolescents"
"519","7313419","Question_2","con il gioco solo se a caso ho guardato la somma che c'era nel mini tesore mentre nel solo se insieme ho messo il super tesoro quasi sempre","Adolescents"
"520","7313419","Question_3","Sì","Adolescents"
"521","7313419","Question_4","solo se a caso ho scelto in base alla quantità mentre solo se soli ho scelto sempre il mini tesoro","Adolescents"
"522","7313419","Question_5","6","Adolescents"
"523","7313419","Question_6","0","Adolescents"
"524","7313419","Question_7","8","Adolescents"
"525","7313419","Question_8","0","Adolescents"
"526","7313414","Question_1","Sì","Adolescents"
"527","7313414","Question_3","Non so","Adolescents"
"528","7313414","Question_5","5","Adolescents"
"529","7313414","Question_6","4","Adolescents"
"530","7313414","Question_7","7","Adolescents"
"531","7313414","Question_8","5","Adolescents"
"532","7313405","Question_1","Sì","Adolescents"
"533","7313405","Question_2","in ""solo se a caso"" era casuale, invece in ""solo se insieme"" cercavo di immaginare cosa facesse l'altra persona","Adolescents"
"534","7313405","Question_3","Sì","Adolescents"
"535","7313405","Question_4","in ""solo se a caso"" era casuale, invece ""in solo se soli"" cercavo di immaginare cosa scegliesse l'altra persona","Adolescents"
"536","7313405","Question_5","7","Adolescents"
"537","7313405","Question_6","3","Adolescents"
"538","7313405","Question_7","7","Adolescents"
"539","7313405","Question_8","3","Adolescents"
"540","7313422","Question_1","No","Adolescents"
"541","7313422","Question_3","Non so","Adolescents"
"542","7313422","Question_5","10","Adolescents"
"543","7313422","Question_6","0","Adolescents"
"544","7313422","Question_7","10","Adolescents"
"545","7313422","Question_8","0","Adolescents"
"546","7313423","Question_1","Sì","Adolescents"
"547","7313423","Question_2","insieme ho deciso di fidarmi del altro e prendere sempre il super tesoro,invece quello a caso ho messo in comparazione i due valori,se l'altro tesoro aveva un valore alto lo avrei scelto dato che e sicuro che se prendo il mini tesoro ottengo le monete. Se il mini tesoro era minimo sceglievo il super tesoro","Adolescents"
"548","7313423","Question_3","Sì","Adolescents"
"549","7313423","Question_4","nel solo se soli non sapevo se mi potevo fidare quindi ho scelto molte volte il mini tesoro e a volte il super tesoro.","Adolescents"
"550","7313423","Question_5","10","Adolescents"
"551","7313423","Question_6","10","Adolescents"
"552","7313423","Question_7","10","Adolescents"
"553","7313423","Question_8","10","Adolescents"
"554","7313407","Question_1","No","Adolescents"
"555","7313407","Question_3","Sì","Adolescents"
"556","7313407","Question_5","7","Adolescents"
"557","7313407","Question_6","4","Adolescents"
"558","7313407","Question_7","4","Adolescents"
"559","7313407","Question_8","6","Adolescents"
"560","7313404","Question_1","Sì","Adolescents"
"561","7313404","Question_3","No","Adolescents"
"562","7313404","Question_5","7","Adolescents"
"563","7313404","Question_6","6","Adolescents"
"564","7313404","Question_7","8","Adolescents"
"565","7313404","Question_8","6","Adolescents"
"566","7313403","Question_1","Sì","Adolescents"
"567","7313403","Question_2","nel secondo gioco dovevo perfarza sperare che il mio compagno scegliesse quella piena","Adolescents"
"568","7313403","Question_3","No","Adolescents"
"569","7313403","Question_5","8","Adolescents"
"570","7313403","Question_6","5","Adolescents"
"571","7313403","Question_7","10","Adolescents"
"572","7313403","Question_8","1","Adolescents"
"573","7313409","Question_1","Sì","Adolescents"
"574","7313409","Question_2","si perchè nel gioco tutti insieme ho scelto soprattuto il sacco da 15 perchè pensavo che quella persona lo scegliesse","Adolescents"
"575","7313409","Question_3","No","Adolescents"
"576","7313409","Question_5","4","Adolescents"
"577","7313409","Question_6","7","Adolescents"
"578","7313409","Question_7","7","Adolescents"
"579","7313409","Question_8","4","Adolescents"
"580","7313420","Question_1","No","Adolescents"
"581","7313420","Question_3","No","Adolescents"
"582","7313420","Question_5","5","Adolescents"
"583","7313420","Question_6","2","Adolescents"
"584","7313420","Question_7","5","Adolescents"
"585","7313420","Question_8","3","Adolescents"
"586","7313408","Question_1","No","Adolescents"
"587","7313408","Question_3","Sì","Adolescents"
"588","7313408","Question_4","Perchè nel gioco dolo se a caso ho scelto la sacca con meno monete ","Adolescents"
"589","7313408","Question_5","3","Adolescents"
"590","7313408","Question_6","9","Adolescents"
"591","7313408","Question_7","7","Adolescents"
"592","7313408","Question_8","7","Adolescents"
